date,begin,high,low,end,volume
2018/1/17 5:00,"11,500","11,580","11,030","11,340",17
2018/1/17 4:00,"11,800","11,870","11,500","11,630",42
2018/1/17 3:00,"11,440","11,830","11,399","11,735",57
2018/1/17 2:00,"11,540","11,650","11,180","11,530",64
2018/1/17 1:00,"12,000","12,050","11,443","11,610",73
2018/1/17 0:00,"12,070","12,300","12,070","12,250",10
2018/1/16 23:00,"12,100","12,170","11,920","12,000",22
2018/1/16 22:00,"11,950","12,040","11,520","12,040",30
2018/1/16 21:00,"12,000","12,160","11,900","12,160",17
2018/1/16 20:00,"11,990","12,260","11,990","12,100",19
2018/1/16 19:00,"11,850","12,060","11,750","12,060",34
2018/1/16 18:00,"12,000","12,000","11,120","11,860",82
2018/1/16 17:00,"11,770","12,220","11,650","12,080",71
2018/1/16 16:00,"13,053","13,053","11,790","11,823",103
2018/1/16 15:00,"13,073","13,100","13,073","13,100",8
2018/1/16 14:00,"13,000","13,100","12,998","13,100",26
2018/1/16 13:00,"13,006","13,030","12,920","12,970",16
2018/1/16 12:00,"13,030","13,030","12,780","12,786",30
2018/1/16 11:00,"12,990","13,110","12,800","12,800",18
2018/1/16 10:00,"13,020","13,020","12,600","12,710",37
2018/1/16 9:00,"13,200","13,330","13,000","13,060",17
2018/1/16 8:00,"13,600","13,620","13,220","13,220",43
2018/1/16 7:00,"14,000","14,000","13,500","13,500",5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/13 5:00,"13,960","13,980","13,770","13,770",7
2018/1/13 4:00,"13,610","13,940","13,610","13,940",21
2018/1/13 3:00,"13,550","13,620","13,503","13,620",25
2018/1/13 2:00,"13,620","13,650","13,460","13,460",8
2018/1/13 1:00,"13,460","13,570","13,460","13,490",9
2018/1/13 0:00,"13,750","13,750","13,470","13,470",17
2018/1/12 23:00,"13,900","13,950","13,780","13,780",16
2018/1/12 22:00,"14,040","14,060","13,800","13,810",6
2018/1/12 21:00,"13,960","14,050","13,960","14,000",3
2018/1/12 20:00,"14,040","14,040","14,040","14,040",1
2018/1/12 19:00,"13,960","14,130","13,960","14,120",5
2018/1/12 18:00,"13,530","14,004","13,530","14,004",6
2018/1/12 17:00,"13,640","13,660","13,500","13,500",11
2018/1/12 16:00,"13,580","13,580","13,580","13,580",1
2018/1/12 15:00,"13,700","13,700","13,700","13,700",2
,,,,,
2018/1/12 13:00,"13,622","13,780","13,500","13,500",7
2018/1/12 12:00,"13,640","13,750","13,640","13,750",4
2018/1/12 11:00,"13,560","13,560","13,560","13,560",1
2018/1/12 10:00,"13,500","13,560","13,500","13,520",13
2018/1/12 9:00,"13,000","13,280","13,000","13,280",5
2018/1/12 8:00,"13,340","13,340","13,220","13,250",3
2018/1/12 7:00,"13,250","13,250","12,971","13,250",7
2018/1/12 6:00,"13,560","13,560","13,560","13,560",1
2018/1/12 5:00,"13,500","13,500","13,400","13,433",7
2018/1/12 4:00,"13,500","13,500","13,190","13,190",21
2018/1/12 3:00,"13,890","13,950","13,850","13,900",15
2018/1/12 2:00,"13,700","13,750","13,680","13,750",6
2018/1/12 1:00,"14,100","14,100","13,750","13,750",13
2018/1/12 0:00,"14,050","14,099","13,910","14,030",15
2018/1/11 23:00,"13,730","14,270","13,730","14,150",38
,,,,,
2018/1/11 21:00,"13,810","13,940","13,810","13,940",2
2018/1/11 20:00,"13,390","13,800","13,390","13,800",5
2018/1/11 19:00,"13,460","13,460","13,450","13,450",2
2018/1/11 18:00,"13,610","13,610","13,550","13,550",5
2018/1/11 17:00,"13,910","13,910","13,910","13,910",2
2018/1/11 16:00,"13,890","13,890","13,890","13,890",1
2018/1/11 15:00,"13,410","13,750","13,410","13,750",3
2018/1/11 14:00,"13,460","13,500","13,200","13,200",9
2018/1/11 13:00,"13,280","13,540","13,040","13,500",19
2018/1/11 12:00,"13,940","13,940","12,830","13,200",50
2018/1/11 11:00,"14,500","14,500","13,730","13,730",15
2018/1/11 10:00,"14,700","14,700","14,700","14,700",1
2018/1/11 9:00,"14,750","14,750","14,700","14,700",2
2018/1/11 8:00,"14,750","15,000","14,750","15,000",6
2018/1/11 7:00,"14,620","14,620","14,620","14,620",9
2018/1/11 6:00,"14,600","14,640","14,600","14,640",2
2018/1/11 5:00,"14,540","14,570","14,540","14,570",2
,,,,,
2018/1/11 3:00,"14,580","14,650","14,500","14,500",5
2018/1/11 2:00,"14,610","14,750","14,610","14,750",2
2018/1/11 1:00,"14,580","14,600","14,500","14,580",11
2018/1/11 0:00,"14,240","14,800","14,240","14,800",11
2018/1/10 23:00,"13,850","14,290","13,750","14,290",18
2018/1/10 22:00,"13,850","13,850","13,850","13,850",1
2018/1/10 21:00,"14,070","14,070","14,000","14,000",3
2018/1/10 20:00,"14,180","14,250","14,120","14,250",5
2018/1/10 19:00,"13,900","13,900","13,900","13,900",1
2018/1/10 18:00,"13,960","14,020","13,900","13,910",34
2018/1/10 17:00,"13,750","13,830","13,640","13,750",6
2018/1/10 16:00,"14,310","14,310","13,650","13,780",18
,,,,,
2018/1/10 14:00,"14,300","14,300","14,300","14,300",1
2018/1/10 13:00,"14,350","14,350","14,350","14,350",2
2018/1/10 12:00,"14,170","14,170","14,170","14,170",1
2018/1/10 11:00,"14,340","14,340","14,340","14,340",2
2018/1/10 10:00,"14,270","14,270","14,260","14,260",3
2018/1/10 9:00,"14,380","14,380","14,380","14,380",1
2018/1/10 8:00,"14,490","14,490","14,000","14,000",6
2018/1/10 7:00,"14,540","14,540","14,500","14,500",3
2018/1/10 6:00,"14,750","14,750","14,750","14,750",1
2018/1/10 5:00,"14,880","14,880","14,860","14,870",8
2018/1/10 4:00,"14,870","14,870","14,780","14,780",4
2018/1/10 3:00,"15,020","15,020","14,910","14,930",6
2018/1/10 2:00,"15,020","15,020","15,020","15,020",1
2018/1/10 1:00,"14,920","15,030","14,920","15,030",19
2018/1/10 0:00,"14,750","14,850","14,700","14,850",23
2018/1/9 23:00,"14,550","14,820","14,550","14,810",26
2018/1/9 22:00,"14,380","14,560","14,380","14,450",14
2018/1/9 21:00,"14,500","14,540","14,460","14,540",3
2018/1/9 20:00,"15,000","15,000","14,970","14,970",2
2018/1/9 19:00,"14,750","14,750","14,610","14,700",3
2018/1/9 18:00,"15,000","15,000","15,000","15,000",2
,,,,,
2018/1/9 16:00,"15,250","15,250","15,250","15,250",1
2018/1/9 15:00,"15,000","15,140","15,000","15,110",3
,,,,,
2018/1/9 13:00,"15,450","15,480","15,410","15,410",3
2018/1/9 12:00,"15,300","15,300","15,300","15,300",2
,,,,,
2018/1/9 10:00,"15,268","15,268","15,268","15,268",1
2018/1/9 9:00,"15,200","15,250","15,200","15,250",2
2018/1/9 8:00,"14,880","15,100","14,880","15,100",4
2018/1/9 7:00,"14,750","14,880","14,680","14,880",5
2018/1/9 6:00,"15,100","15,100","15,100","15,100",1
2018/1/9 5:00,"14,950","15,010","14,940","15,010",11
2018/1/9 4:00,"15,160","15,250","14,750","14,750",15
2018/1/9 3:00,"15,170","15,170","15,060","15,150",11
2018/1/9 2:00,"14,770","15,150","14,750","15,150",14
2018/1/9 1:00,"14,850","15,090","14,850","15,000",27
2018/1/9 0:00,"14,750","14,980","14,550","14,890",34
2018/1/8 23:00,"15,000","15,050","14,040","14,680",91
2018/1/8 22:00,"15,030","15,050","14,830","15,050",30
2018/1/8 21:00,"15,500","15,600","15,060","15,060",10
2018/1/8 20:00,"15,640","15,694","15,550","15,550",5
2018/1/8 19:00,"15,510","15,510","15,510","15,510",1
2018/1/8 18:00,"15,670","15,670","15,500","15,590",6
2018/1/8 17:00,"15,750","15,750","15,640","15,650",94
,,,,,
2018/1/8 15:00,"16,010","16,010","16,000","16,000",2
2018/1/8 14:00,"16,040","16,040","16,040","16,040",1
2018/1/8 13:00,"15,970","16,000","15,970","16,000",2
2018/1/8 12:00,"15,850","15,980","15,750","15,940",8
2018/1/8 11:00,"15,900","15,900","15,840","15,870",3
2018/1/8 10:00,"16,120","16,180","16,120","16,180",3
2018/1/8 9:00,"16,350","16,350","16,000","16,040",4
2018/1/8 8:00,"16,410","16,450","16,211","16,390",6
2018/1/8 7:00,"16,700","16,700","16,500","16,500",2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/6 5:00,"16,570","16,800","16,500","16,760",9
2018/1/6 4:00,"16,500","16,580","16,500","16,550",17
2018/1/6 3:00,"16,530","16,530","16,450","16,483",9
2018/1/6 2:00,"16,570","16,700","16,510","16,660",20
2018/1/6 1:00,"16,440","16,540","16,440","16,540",2
2018/1/6 0:00,"16,150","16,500","16,120","16,500",23
2018/1/5 23:00,"16,250","16,320","16,150","16,150",9
2018/1/5 22:00,"16,100","16,170","16,090","16,130",9
2018/1/5 21:00,"16,010","16,050","16,000","16,050",11
2018/1/5 20:00,"16,250","16,300","16,220","16,220",16
2018/1/5 19:00,"16,130","16,320","16,000","16,210",30
2018/1/5 18:00,"16,130","16,130","16,020","16,080",3
2018/1/5 17:00,"15,500","16,040","15,500","15,980",21
2018/1/5 16:00,"15,250","15,300","15,250","15,300",2
2018/1/5 15:00,"15,010","15,049","15,000","15,049",4
,,,,,
2018/1/5 13:00,"15,000","15,000","15,000","15,000",1
2018/1/5 12:00,"15,020","15,020","15,020","15,020",1
2018/1/5 11:00,"15,300","15,300","15,300","15,300",1
2018/1/5 10:00,"15,280","15,400","15,280","15,380",20
,,,,,
2018/1/5 8:00,"15,110","15,110","15,100","15,100",3
2018/1/5 7:00,"15,220","15,250","15,220","15,250",2
,,,,,
,,,,,
2018/1/5 4:00,"15,130","15,186","15,040","15,186",15
2018/1/5 3:00,"14,930","14,930","14,870","14,930",7
2018/1/5 2:00,"14,910","15,000","14,800","14,990",18
2018/1/5 1:00,"14,680","14,920","14,680","14,920",14
2018/1/5 0:00,"14,680","14,760","14,610","14,640",19
2018/1/4 23:00,"14,670","14,840","14,660","14,660",6
2018/1/4 22:00,"14,710","14,710","14,710","14,710",4
2018/1/4 21:00,"14,590","14,660","14,490","14,660",36
2018/1/4 20:00,"14,670","14,670","14,570","14,570",3
2018/1/4 19:00,"14,710","14,730","14,570","14,570",8
2018/1/4 18:00,"14,620","14,650","14,610","14,650",3
2018/1/4 17:00,"14,600","14,700","14,400","14,490",33
2018/1/4 16:00,"14,980","14,980","14,700","14,700",6
