btcdate,btcbegin,btchigh,btclow,btcend,cboedate,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2018/1/26 6:00,11253.5996,11329.5,11136.9297,11256.5234,2018/1/26 6:00,11140 ,11140 ,11140 ,11140 ,1 
2018/1/26 5:00,11214.9863,11365.2451,11187.5557,11253.5996,2018/1/26 5:00,11280 ,11390 ,11250 ,11310 ,30 
2018/1/26 4:00,11251.6758,11276.2109,11176.8809,11214.9863,2018/1/26 4:00,11220 ,11280 ,11150 ,11230 ,44 
2018/1/26 3:00,10991.1953,11276.0449,10991.1953,11251.6758,2018/1/26 3:00,11180 ,11250 ,11180 ,11180 ,20 
2018/1/26 2:00,10885.5547,10998.2021,10885.5547,10991.1953,2018/1/26 2:00,10960 ,11210 ,10950 ,11160 ,26 
2018/1/26 1:00,10966.3984,11123.6895,10878.5898,10885.5547,2018/1/26 1:00,11100 ,11120 ,10910 ,10960 ,22 
2018/1/26 0:00,11168.9961,11177.6895,10893.3779,10966.3984,2018/1/26 0:00,11100 ,11100 ,10940 ,11050 ,22 
2018/1/25 23:00,11220.9492,11257.1504,11153.0195,11168.9961,2018/1/25 23:00,11290 ,11310 ,11120 ,11150 ,25 
2018/1/25 22:00,11055.0801,11265.4551,11053.5762,11220.9492,2018/1/25 22:00,11153 ,11310 ,11153 ,11260 ,10 
2018/1/25 21:00,11158.9941,11215.4131,11028.2021,11055.0801,2018/1/25 21:00,11070 ,11160 ,11070 ,11160 ,3 
2018/1/25 20:00,11307.6592,11349.833,11136.0059,11158.9941,2018/1/25 20:00,11180 ,11220 ,11160 ,11220 ,20 
2018/1/25 19:00,11317.1484,11405.0293,11265.4854,11307.6592,2018/1/25 19:00,11290 ,11290 ,11290 ,11290 ,4 
2018/1/25 18:00,11290.0449,11327.3027,11177.9834,11317.1484,2018/1/25 18:00,11280 ,11280 ,11270 ,11270 ,4 
2018/1/25 17:00,11418.8945,11436.4668,11268.0996,11290.0449,2018/1/25 17:00,11200 ,11250 ,11200 ,11250 ,2 
2018/1/25 16:00,11473.2363,11544.8848,11384.7578,11418.8945,2018/1/25 16:00,11360 ,11380 ,11360 ,11380 ,2 
2018/1/25 15:00,11558.9639,11620.8984,11461.9756,11473.2363,2018/1/25 15:00,11580 ,11580 ,11460 ,11460 ,14 
2018/1/25 14:00,11455.6484,11573.0137,11440.7764,11558.9639,2018/1/25 14:00,11560 ,11590 ,11560 ,11590 ,2 
2018/1/25 13:00,11631.6543,11638.0352,11378.5,11455.5801,2018/1/25 13:00,11560 ,11560 ,11490 ,11490 ,4 
2018/1/25 12:00,11547.457,11714.7227,11483.3203,11631.6543,2018/1/25 12:00,11710 ,11710 ,11580 ,11580 ,2 
2018/1/25 11:00,11454.6055,11636.7734,11363.0957,11547.457,2018/1/25 11:00,11439 ,11700 ,11430 ,11490 ,38 
2018/1/25 10:00,11306.1777,11493.9033,11279,11454.6055,2018/1/25 10:00,11500 ,11550 ,11400 ,11440 ,7 
2018/1/25 9:00,11394.8789,11406.5,11278.5,11306.1777,2018/1/25 9:00,11290 ,11470 ,11290 ,11440 ,6 
2018/1/25 8:00,11103.0137,11423.7012,11100.1504,11394.8789,2018/1/25 8:00,11210 ,11430 ,11200 ,11430 ,10 
2018/1/25 7:00,11213.3652,11241.5,11089.7002,11103.0137,2018/1/25 7:00,11120 ,11160 ,11120 ,11160 ,2 
2018/1/25 6:00,11151.5,11292.5,11137.6201,11213.3652,2018/1/25 6:00,11260 ,11260 ,11160 ,11210 ,5 
2018/1/25 5:00,11197.6543,11252.5098,11103.5859,11151.5,2018/1/25 5:00,11180 ,11210 ,11170 ,11210 ,29 
2018/1/25 4:00,11027.8516,11227.7441,10982.7832,11197.6543,2018/1/25 4:00,11160 ,11230 ,11160 ,11230 ,6 
2018/1/25 3:00,11101.5,11177.0488,10993.8096,11027.8516,2018/1/25 3:00,11170 ,11170 ,11050 ,11050 ,2 
2018/1/25 2:00,11050.5195,11135.2539,10869.5,11101.5,2018/1/25 2:00,11040 ,11150 ,11040 ,11130 ,13 
2018/1/25 1:00,11049.4043,11111.5,10938.8828,11050.5195,2018/1/25 1:00,11080 ,11120 ,10910 ,10910 ,8 
2018/1/25 0:00,11299.9141,11314.8301,11045.5,11049.4043,2018/1/25 0:00,11250 ,11270 ,10980 ,11040 ,43 
2018/1/24 23:00,11335.0996,11488.5977,11232.5,11299.9141,2018/1/24 23:00,11470 ,11470 ,11200 ,11280 ,30 
2018/1/24 22:00,11315.6797,11361.9355,11199.7354,11335.0996,2018/1/24 22:00,11280 ,11500 ,11280 ,11500 ,7 
2018/1/24 21:00,11043.5,11428,10974.2178,11315.6797,2018/1/24 21:00,11280 ,11500 ,11280 ,11310 ,17 
2018/1/24 20:00,10983.8779,11169,10914.5898,11043.5,2018/1/24 20:00,11150 ,11330 ,11130 ,11330 ,4 
